,title,artist,key,chords,capo
0,Cant Help Falling In Love,Elvis Presley,D,"[['C', 'G', 'Am', 'F', 'C', 'G', 'C', 'C', 'Em', 'Am', 'F', 'C', 'G'], ['F', 'G', 'Am', 'F', 'C', 'G', 'C'], ['C', 'Em', 'Am', 'F', 'C', 'G'], ['F', 'G', 'Am', 'F', 'C', 'G', 'C'], ['Em', 'B7', 'Em', 'B7'], ['Em', 'B7'], ['Em', 'A7', 'Dm', 'G'], ['C', 'Em', 'Am', 'F', 'C', 'G'], ['F', 'G', 'Am', 'F', 'C', 'G', 'C'], ['Em', 'B7', 'Em', 'B7'], ['Em', 'B7'], ['Em', 'A7', 'Dm', 'G'], ['C', 'Em', 'Am', 'F', 'C', 'G'], ['F', 'G', 'Am', 'F', 'C', 'G', 'C', 'C'], ['F', 'G', 'Am', 'F', 'C', 'G', 'C']]",2
1,House Of The Rising Sun,The Animals,Am,"[['Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E', 'Am', 'C', 'D', 'F'], ['Am', 'C', 'E'], ['Am', 'C', 'D', 'F'], ['Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E'], ['Am', 'C', 'D', 'F'], ['Am', 'C', 'E'], ['Am', 'C', 'D', 'F'], ['Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E'], ['Am', 'C', 'D', 'F'], ['Am', 'C', 'E'], ['Am', 'C', 'D', 'F'], ['Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E'], ['Am', 'C', 'D', 'F', 'Am', 'C', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'C/E', 'D', 'F', 'Am', 'E', 'Am', 'E', 'Am', 'C', 'D', 'F'], ['Am', 'C', 'E'], ['Am', 'C', 'D', 'F'], ['Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E'], ['Am', 'C', 'D', 'F'], ['Am', 'C', 'E'], ['Am', 'C', 'D', 'F'], ['Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E'], ['Am', 'C', 'D', 'F'], ['Am', 'C', 'E'], ['Am', 'C', 'D', 'F'], ['Am', 'E7', 'Am', 'C', 'D', 'F7', 'Am', 'E7'], ['Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm'], ['Am', 'Dm', 'Am', 'Dm', 'Am']]",
2,Fly Me To The Moon,Frank Sinatra,Am,"[['Am', 'Dm7', 'G7', 'Cmaj7'], ['F', 'Dm', 'E7', 'Am', 'A7'], ['Dm7', 'G7', 'C', 'Am'], ['Dm7', 'G7', 'C', 'E'], ['Am', 'Dm7', 'G7', 'Cmaj7'], ['F', 'Dm', 'E', 'Am', 'A7'], ['Dm7', 'G7', 'C', 'Am', 'E7'], ['Dm7', 'G7', 'Fm', 'C'], ['Am', 'Dm7', 'G7', 'Cmaj7', 'F', 'Dm', 'E', 'Am', 'Dm7', 'G7', 'Em', 'A7', 'E7', 'Dm7', 'G7', 'C', 'Am', 'Dm7', 'G7', 'Cmaj7'], ['F', 'Dm', 'E', 'Am', 'A7'], ['Dm7', 'G7', 'C', 'Am'], ['Dm7', 'G7'], ['Dm7', 'G', 'G7', 'C']]",
3,Yesterday,The Beatles,F,"[['F', 'Em7', 'A7', 'Dm', 'Dm/C'], ['Bb', 'C7', 'F', 'F/E', 'Dm', 'G7', 'Bb', 'F', 'F'], ['F', 'Em7', 'A7', 'Dm', 'Dm/C'], ['Bb', 'C7', 'F', 'F/E', 'Dm', 'G7', 'Bb', 'F', 'F'], ['Em7', 'A7', 'Dm', 'Dm/C', 'Bb', 'Gm', 'C', 'F'], ['Em7', 'A7', 'Dm', 'Dm/C', 'Bb', 'Gm', 'C', 'F'], ['F', 'Em7', 'A7', 'Dm', 'Dm/C'], ['Bb', 'C7', 'F', 'F/E', 'Dm', 'G7', 'Bb', 'F', 'F'], ['Em7', 'A7', 'Dm', 'Dm/C', 'Bb', 'Gm', 'C', 'F'], ['Em7', 'A7', 'Dm', 'Dm/C', 'Bb', 'Gm', 'C', 'F'], ['F', 'Em7', 'A7', 'Dm', 'Dm/C'], ['Bb', 'C7', 'F', 'F/E', 'Dm', 'G7', 'Bb', 'F', 'F'], ['Dm', 'G7', 'Bb', 'F', 'F']]",
4,Let It Be,The Beatles,C,"[['C', 'G', 'Am', 'Am7', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['C', 'G', 'Am', 'Am7', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['C', 'G', 'Am', 'Am7', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['C', 'G', 'Am', 'Am7', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['C', 'G', 'Am', 'Am7', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['C', 'G', 'Am', 'Am7', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'E', 'D', 'D', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'E', 'D', 'D', 'C']]",
5,Space Oddity,David Bowie,C,"[['Fmaj7', 'Em', 'Fmaj7', 'Em', 'Fmaj7', 'Em', 'Fmaj7', 'Em', 'C', 'Em'], ['C', 'Em'], ['Am', 'Am/G', 'D7/F#'], ['C', 'Em'], ['C', 'Em'], ['Am', 'Am/G', 'D7/F#'], ['C', 'E7'], ['F'], ['Fm', 'C', 'F'], ['Fm', 'C', 'F'], ['C', 'E'], ['F'], ['Fm', 'C', 'F'], ['Fm', 'C', 'F'], ['Fmaj7', 'Em'], ['Fmaj7', 'Em'], ['Bb', 'Am', 'G', 'F'], ['C', 'F', 'G', 'A', 'A', 'C', 'F', 'G', 'A', 'A', 'Fmaj7', 'Em', 'A', 'C', 'D', 'E', 'C', 'E7'], ['F'], ['Fm', 'C', 'F'], ['Fm', 'C', 'F'], ['G', 'E7', 'Am', 'C/G'], ['D7/F#'], ['C'], ['G'], ['Fmaj7', 'Em'], ['Fmaj7', 'Em'], ['Bb', 'Am', 'G', 'F']]",
6,Hey Jude,The Beatles,D,"[['D', 'A', 'A7', 'D'], ['G', 'D', 'A', 'A7', 'D'], ['D', 'A', 'A7', 'D'], ['G', 'D', 'A', 'A7', 'D'], ['D7', 'G', 'Bm', 'Em', 'G', 'A7', 'D'], ['D7', 'G', 'Bm', 'Em', 'G', 'A7', 'D'], ['D', 'D7', 'A7'], ['D', 'A', 'A7', 'D'], ['G', 'D', 'A', 'A7', 'D'], ['D7', 'G', 'Bm', 'Em', 'G', 'A7', 'D'], ['D7', 'G', 'Bm', 'Em', 'G', 'A7', 'D'], ['D', 'D7', 'A7'], ['D', 'A', 'A7', 'D'], ['G', 'D', 'A', 'A7', 'D'], ['D', 'C', 'G', 'D'], ['D', 'C', 'G', 'D'], ['D', 'C', 'G', 'D'], ['D', 'C', 'G', 'D'], ['D', 'C', 'G', 'D'], ['D', 'C', 'G', 'D'], ['D', 'C', 'G', 'D'], ['D', 'C', 'G', 'D'], ['D', 'C', 'G', 'D'], ['D', 'C', 'G', 'D']]",3
7,The Sound Of Silence,Simon & Garfunkel,Ebm,"[['Am', 'G'], ['Am'], ['F', 'C'], ['F', 'C'], ['F', 'C'], ['C/B', 'Am'], ['C', 'G', 'Am'], ['G'], ['Am'], ['F', 'C'], ['F', 'C'], ['F', 'C'], ['C/B', 'Am'], ['C', 'G', 'Am'], ['G'], ['Am'], ['F', 'C'], ['F', 'C'], ['F', 'C'], ['C/B', 'Am'], ['C', 'G', 'Am'], ['G'], ['Am'], ['F', 'C'], ['F', 'C'], ['F', 'C', 'C/B', 'Am'], ['C'], ['G', 'Am'], ['G'], ['Am'], ['F', 'C'], ['F', 'C'], ['F'], ['C'], ['C', 'C/B', 'Am'], ['C', 'G', 'Am']]",6
8,Stand By Me,Ben E. King,A,"[['G', 'G', 'Em', 'Em'], ['C', 'D', 'G', 'G'], ['G', 'G', 'Em', 'Em'], ['C', 'D', 'G', 'G'], ['G', 'G', 'Em', 'Em'], ['C', 'D', 'G', 'G'], ['G', 'G', 'Em', 'Em'], ['C', 'D', 'G', 'G'], ['G', 'G', 'Em', 'Em'], ['C', 'D', 'G', 'G'], ['G', 'G', 'Em', 'Em'], ['C', 'D', 'G', 'G'], ['G', 'G', 'Em', 'Em', 'C', 'D', 'G', 'G', 'G', 'G', 'Em', 'Em', 'C', 'D', 'G', 'G', 'G', 'G', 'Em', 'Em'], ['C', 'D', 'G', 'G']]",2
9,Let It Be,The Beatles,C,"[['C', 'G', 'Am', 'Fmaj7', 'F6', 'C', 'G', 'F', 'C/E', 'Dm7', 'C', 'C', 'G', 'Am', 'Am/G', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['C', 'G', 'Am', 'Am/G', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['C', 'G', 'Am', 'Am/G', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['C', 'G', 'Am', 'Am/G', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['F', 'C/E', 'Dm7', 'C', 'Bb', 'F/A', 'G', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['C', 'G'], ['Am', 'Am/G', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['C', 'G', 'Am', 'Am/G', 'Fmaj7', 'F6'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C'], ['Am', 'G', 'F', 'C'], ['C', 'G', 'F', 'C/E', 'Dm7', 'C']]",
