,0,1,2
0,Last Christmas,0,0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 9-m 2-m 7- 0- 0- 9-m
1,Where Is My Mind,0,0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 4- 5- 5-m 9-m 7- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 4- 5- 5-m 9-m 7- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 4- 5- 5-m 9-m 7-
2,Just The Two Of Us,0,6-maj7 5-7 10-m7 9-m7 1-7 6-maj7 5-7 10-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 9-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 9-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 9-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 9-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 4-maj7 3-7 2-maj7 1-7 6-maj7 11-13 6-maj7 5-7 4-maj7 3-7 2-maj7 1-7 6-maj7 11-13 6-maj7 5-7 10-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 9-m7 8-m7 1-7 6-maj7 5-7 10-m7 6-maj7 5-7 10-m7 9-m7 8-m7 1-7 6-maj7 5-7 10-m7
3,Wicked Game,1,0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5- 0-m 10- 5-
4,Sweet Child O Mine,0,0- 0- 10- 10- 5- 5- 0- 0- 0- 0- 10- 10- 5- 5- 0- 0- 0- 0- 10- 10- 5- 5- 0- 0- 0- 10- 5- 0- 0- 10- 5- 0- 7- 10- 0- 7- 10- 0- 0- 0- 10- 10- 5- 5- 0- 0- 0- 10- 5- 0- 0- 10- 5- 0- 7- 10- 0- 7- 10- 0- 0- 0- 10- 10- 5- 5- 0- 0- 0- 0- 10- 10- 5- 5- 0- 0- 7- 10- 0- 7- 10- 0- 7- 10- 0- 7- 10- 0- 2-m 10- 9-7 7-m 2-m 10- 9-7 7-m 2-m 10- 9-7 7-m 2-m 10- 9-7 7-m 7-m 2-m 5- 7- 10- 0- 5- 2-m 5- 7- 10- 0- 5- 2-m 5- 7- 10- 0- 5- 2-m 5- 7- 10- 0- 5- 2-m 5- 7- 10- 0- 5- 2-m 5- 7- 10- 0- 5- 2-m 5- 7- 10- 0- 5- 2-m 5- 7- 10- 0- 5- 2-m 5- 7- 10- 0- 5- 2-m 5- 7- 10- 0- 5- 2-m 5- 7- 2-m 2-m 5- 7- 10- 0- 2-
5,Hallelujah,0,0- 9-m 0- 9-m 5- 7- 0- 7- 0- 5- 7- 9-m 5- 7- 4-7 9-m 5- 9-m 5- 0- 7- 0- 7- 0- 9-m 0- 9-m 5- 7- 0- 7- 0- 5- 7- 9-m 5- 7- 4-7 9-m 5- 9-m 5- 0- 7- 0- 7- 0- 9-m 0- 9-m 5- 7- 0- 7- 0- 5- 7- 9-m 5- 7- 4-7 9-m 5- 9-m 5- 0- 7- 0- 7- 0- 9-m 0- 9-m 5- 7- 0- 7- 0- 5- 7- 9-m 5- 7- 4-7 9-m 5- 9-m 5- 0- 7- 5- 9-m 5- 0- 7- 5- 9-m 5- 0- 7- 5- 9-m 5- 0- 7- 0-
6,Merry Christmas Everyone,0,2- 6-7/1 11-m 7- 2- 9- 2- 2- 6-7/1 11-m 7- 2- 7- 2- 9- 2- 6-7/1 11-m 7- 2- 9- 2- 2- 6-7/1 11-m 7- 2- 7- 2- 9- 2- 6-7/1 11-m 7- 2- 9- 2- 11-m 7- 2- 9- 11-m 7- 2- 9- 2- 6-7/1 11-m 7- 2- 7- 2- 2- 6-7/1 11-m 7- 2- 9- 2- 2- 6-7/1 11-m 7- 2- 7- 2- 2- 6-7/1 11-m 7- 2- 9- 2- 11-m 7- 2- 9- 11-m 7- 2- 9- 2- 6-7/1 11-m 7- 2- 7- 2- 9- 2- 6-7/1 11-m 7- 2- 9- 2- 7- 2- 9- 2- 7- 2- 9- 2- 2- 6-7/1 11-m 7- 2- 9- 2- 4- 8-7/3 1-m 9- 4- 9- 4- 11- 4- 8-7/3 1-m 9- 4- 11- 4- 4- 8-7/3 1-m 9- 4- 9- 4- 11- 4- 8-7/3 1-m 9- 4- 11- 4- 4- 8-7/3 1-m 9- 4- 9- 4- 11- 4- 8-7/3 1-m 9- 4- 11- 4- 9- 4- 11- 4- 9- 4- 11- 4- 4- 8-7/3 1-m 9- 4- 11- 4-
7,Fairytale Of New York,0,0- 5-/0 0- 5-/0 7- 0- 0- 5-/0 0- 5-/0 7- 0- 5-/0 0- 5-/0 7-sus4/2 0- 5-/0 0- 5- 0- 5-/7 7- 0- 5- 0- 5- 7-sus4/2 0- 5-/7 5-/7 0- 5- 0- 5-/7 7- 0- 5- 0- 5- 7-sus4/2 0- 5-/0 0- 5-/0 7-sus4 0- 7- 0- 5- 7- 0- 0- 7- 9-m 5- 0- 7- 0- 9-m 0- 5- 0- 7- 0- 0- 7- 0- 5- 7- 0- 0- 7- 0- 5- 7- 0- 5- 9-m 7- 0- 9-m 0- 5- 7- 0- 7- 9-m 5- 0- 7- 0- 9-m 0- 5- 0- 7- 0- 0- 0- 7- 0- 5- 7- 0- 0- 7- 0- 5- 7- 0- 7- 0- 5- 9-m 7- 0- 9-m 0- 5- 7- 0- 5- 0- 7- 0- 7- 0- 7- 0- 5- 0- 7- 0- 5- 0- 5- 7- 0- 5- 9-m 7- 0- 9-m 0- 0-
8,Careless Whisper,1,0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7 0-m7 5-m7 8-maj7 7-m7
9,Fast Car,0,0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 4-m 0- 7- 0- 4-m 0- 4-m 0- 4-m 0- 0- 4-m 2- 0- 4-m 2- 4-m 0- 4-m 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 4-m 0- 7- 0- 4-m 0- 4-m 0- 4-m 0- 0- 4-m 2- 0- 4-m 2- 4-m 0- 4-m 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 4-m 0- 7- 0- 4-m 0- 4-m 0- 4-m 0- 0- 4-m 2- 0- 4-m 2- 4-m 0- 4-m 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2- 0-maj7 7- 4-m 2-
