,0,1
0,Come As You Are,6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 9- 6-m 9- 6-m 9- 6-m 9- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 9- 6-m 9- 6-m 9- 6-m 9- 11-m 2- 11-m 2- 11-m 2- 11-m 2- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-m 9- 6-m 9- 6-m 9- 6-m 9- 11-m 2- 11-m 2- 11-m 2- 11-m 2- 11-m 2- 11-m 2- 6-m 4- 6-m 4- 6-m 4- 6-m 4- 6-sus4
1,Angels,4- 9- 1-m 11- 4- 9- 1-m 11- 6-m 9- 1-m7 9- 2- 9-/1 4- 2- 9-/1 4- 11- 1-m 9- 4- 11- 1-m 9- 4-/8 6-m 2- 9-/1 4- 4- 9- 1-m 11- 4- 9- 1-m 11- 2- 9-/1 4- 2- 9-/1 4- 11- 1-m 9- 4- 11- 1-m 9- 4-/8 6-m 2- 9-/1 4- 11-m 9- 4- 4- 11- 1-m 9- 4- 11- 1-m 9- 4-/8 6-m 2- 9-/1 4-
2,Black,4- 9-sus2 4- 9-sus2 4- 9- 4- 4- 9-sus2 4- 9-sus2 4- 9- 4- 0- 4-m 0- 4-m 2- 0- 4-m 2- 0- 4-m 4- 9-sus2 4- 9-sus2 4- 9- 4- 0- 4-m 0- 4-m 2- 0- 4-m 2- 0- 4-m 2- 0- 2- 0- 4-m 2- 0- 4-m 2- 0- 4-m 2- 0- 4-m 2- 0- 0- 4-m 2- 0- 4-m 2- 0- 0- 4-m 4-m 2- 2- 0- 0- 4-m 4-m 2-
3,Say It Aint So,9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 7- 7- 7-/6 7-/6 0- 0- 3- 3- 7- 7- 7-/6 7-/6 0- 0- 3- 3- 7- 7- 7-/6 7-/6 0- 0- 3- 3- 7- 7- 7-/6 7-/6 0- 0- 3- 3- 9-m 4- 5- 0- 9-m 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 9-m 9-m 4- 4- 5- 0- 9-m 9-m 4- 4- 5- 0-
4,Between The Bars,9-m7 9-m7 5- 0- 4-7 9-m7 5- 0- 4-7 5- 9-m7 5- 0- 4-7 9-m7 5- 0- 4-7 5- 5- 7- 9-m 5- 7- 9-m 9-m/6 5- 7- 9-m 5- 5-m 9-m7 5- 0- 4-7 9-m7 5- 0- 4-7 5- 9-m7 5- 0- 4-7 9-m7 5- 0- 4-7 5- 5- 7- 9-m 5- 7- 9-m 9-m/6 5- 7- 9-m 5- 5-m 9-m7
5,Santeria,4- 8- 1-m 11- 4- 8- 1-m 11- 4- 8- 1-m 11- 9- 11- 4- 1-m 9- 11- 4- 1-m 9- 11- 4- 1-m 9- 11- 4- 8- 1-m 11- 4- 8- 1-m 11- 9- 11- 4- 1-m 9- 11- 4- 1-m 9- 11- 4- 1-m 9- 11- 9- 11- 4- 1-m 9- 11- 4- 1-m 9- 11- 4- 1-m 9- 11- 4- 8- 1-m 11- 4- 8- 1-m 11- 9- 11- 4- 1-m 9- 11- 4- 1-m 9- 11- 4- 1-m 9- 11-
6,Last Kiss,7- 4-m 0- 2- 7- 4-m 0- 2- 7- 7- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 7- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 7- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 7- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 7- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 4-m 0- 2-
7,Name,2-sus4/6 0-add9 4-m7 2-sus4/9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 4-m7 2-sus4/9 0-add9 4-m7 2-sus4/9 0-add9 4-m7 2-sus4/9 0-add9 4-m7 2-sus4/9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 4-m7 2-sus4/9 0-add9 4-m7 2-sus4/9 0-add9 4-m7 2-sus4/9 0-add9 4-m7 2-sus4/9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 4-m7 2-sus4/9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 7- 2-sus4/6 0-add9 4-m7 2-sus4/9 0-add9 2-sus4/9 7-
8,Lover You Shouldve Come Over,2-sus2 2- 0- 4-m9 4-m 4-m7 4-m 2-sus2 2- 0- 4-m9 4-m 4-m7 4-m 1-m7b5 6-7#5 11-m 2-/9 7-6 2-sus2 2- 0- 4-m9 4-m 4-m7 4-m 2-sus2 2- 0- 4-m9 4-m 4-m7 4-m 2- 2-sus2 2-sus2 2- 0- 4-m9 4-m 4-m7 4-m 1-m7b5 6-7#5 11-m 2-/9 7- 6- 11-m 11-m11/4 4-m 4-m9 11-m 11-m11/4 4-m 11-m 4-m 0- 4-m 4-m9 4-m7 2-dim/5 2-/6 7-m6 9-add9 7-6/11 9-add9/1 0-maj7 11-madd11 9-add9/1 7-6/11 9-add9 6-5 4-m 4-m9 4-m7 4-m 2-sus2 2- 0- 4-m9 4-m 4-m7 4-m 2-sus2 2- 0- 4-m9 4-m 4-m7 4-m 2-sus2 2- 0- 4-m9 4-m 4-m7 4-m 1-m7b5 6-7b5 11-m 2-/9 7-6 2-dim/6 2-sus2 2- 0- 4-m9 4-m 4-m7 4-m 2- 0- 4-m9 4-m 4-m7 2- 0- 4-m9 4-m 4-m7 2- 0- 4-m9 4-m 4-m7 1-m7b5 6-7#5 11-m 2-/9 7- 7-m6 2-/6 7-m6 9-add9 7-6/11 9-add9/1 0-maj7 11-madd11 9-add9/1 7-6/11 9-add9 6-5 4-m9 4-m 4-m7 2-/6 7-m6 9-add9 7-6/11 9-add9/1 0-maj7 11-madd11 9-add9/1 7-6/11 9-add9 6-5 4-m 4-m9 4-m7 4-m 2-/6 7-m6 9-add9 7-6/11 9-add9/1 0-maj7 11-madd11 9-add9/1 7-6/11 9-add9 6-5 4-m 4-m9 4-m7 4-m 2-sus2 2- 0- 4-m9
9,Black Hole Sun,4- 7- 2- 1-m 0- 11- 4- 7- 2- 1-m 0- 11- 4- 5- 4- 7- 2- 1-m 0- 11- 4- 5- 0- 11- 4- 2- 7- 0- 11- 9- 11- 4- 7- 2- 1-m 0- 11- 4- 5- 4- 7- 2- 1-m 0- 11- 4- 5- 0- 11- 4- 2- 7- 0- 11- 9- 11- 0- 11- 4- 2- 7- 0- 11- 9- 7- 11- 9- 4-m 11- 9- 7- 11- 9- 4-m 11- 4- 7- 2- 1-m 0- 11- 4- 2- 7- 0- 11- 9- 11- 0- 11- 4- 2- 7- 0- 11- 9- 7- 11- 9- 7- 11- 9- 7- 11- 9- 7- 11- 9- 7- 11- 9- 7- 11- 9- 7- 11- 9- 4-m 11- 4- 2- 4-
